命令,参数,类型,必填,默认值,合法范围/选项,用途,路径行为
spad-generate,--irf_sigma,浮点数,否,2.0,有限浮点数 > 0,Positive IRF Gaussian sigma in bins for single-surface simulation.,—
spad-generate,--limit,整数,否,未设置,整数 >= 1,Optional positive cap on the number of processed samples.,—
spad-generate,--save_x,布尔开关,否,False,—,"Also save x=(depth-like, signal-like, background) proxy for visualization/debugging.",—
spad-generate,--overwrite,布尔开关,否,False,—,"Allow publishing into a nonempty output directory; after a successful run, stale sample_*.npz files and index.csv from earlier runs are removed.",—
spad-generate,--resume,布尔开关,否,False,—,Continue a compatible incomplete generation from its integrity-checked partial manifest.,—
spad-generate,--device,字符串,否,auto,auto / cuda / cpu,Execution device; CUDA requests fall back to CPU with an explanation when unavailable.,—
spad-generate,--gpu_index,整数,否,0,整数 >= 0,Zero-based NVIDIA GPU index used by auto/cuda device modes.,—
spad-train,--dataset_dir,字符串,是,必填,—,Existing dataset directory or .npz sample file; repeat to combine multiple inputs.,输入路径：必须是现有目录或 .npz 文件
spad-train,--output_dir,字符串,否,outputs/train_spad_3dcnn,—,Directory in which checkpoints are written.,输出目录：输入校验通过后自动创建；非空需 --overwrite
spad-train,--overwrite,布尔开关,否,False,—,Allow writing into a non-empty output directory.,—
spad-train,--resume_checkpoint,字符串,否,未设置,—,Resume a compatible interrupted run from a safe .pt/.pth checkpoint.,—
spad-train,--device,字符串,否,auto,auto / cuda / cpu,Execution device; CUDA requests fall back to CPU with an explanation when unavailable.,—
spad-train,--gpu_index,整数,否,0,整数 >= 0,Zero-based NVIDIA GPU index used by auto/cuda device modes.,—
spad-train,--epochs,整数,否,20,整数 >= 1,Number of training epochs (>= 1).,—
spad-train,--batch_size,整数,否,1,整数 >= 1,Samples per optimizer step (>= 1).,—
spad-train,--lr,浮点数,否,0.001,有限浮点数 > 0,AdamW learning rate (> 0).,—
spad-train,--weight_decay,浮点数,否,1e-05,有限浮点数 >= 0,AdamW weight-decay coefficient (>= 0).,—
spad-train,--val_fraction,浮点数,否,0.2,0 <= 值 < 1,Fraction of samples reserved for validation (0 <= value < 1).,—
spad-train,--seed,整数,否,0,整数 0—4294967295,Random seed between 0 and 4294967295.,—
spad-train,--num_workers,整数,否,0,整数 >= 0,Number of DataLoader worker processes (>= 0).,—
spad-train,--max_samples,整数,否,未设置,整数 >= 1,"Optional positive cap on the number of samples, useful for quick tests.",—
spad-train,--model,字符串,否,simple3d,simple3d / prsnet / penonlocal / stin,3D network architecture.,—
spad-train,--base_channels,整数,否,8,整数 >= 1,Number of base feature channels in the network (>= 1).,—
spad-train,--num_blocks,整数,否,10,整数 >= 1,Number of residual/non-local blocks for larger models (>= 1).,—
spad-train,--temporal_downsample,整数,否,1,整数 >= 1,Factor for summing neighboring time bins before the 3D CNN (>= 1).,—
spad-train,--target_sigma_bins,浮点数,否,2.0,有限浮点数 > 0,Gaussian target width in downsampled time bins (> 0).,—
spad-train,--target_source,字符串,否,depth,depth / clean,Training-target source: depth-derived Gaussian or transient_clean when available.,—
spad-train,--no_log_counts,布尔开关,否,False,—,Disable log1p compression of counts before normalization.,—
spad-train,--tv_weight,浮点数,否,0.0,有限浮点数 >= 0,Weight for TV loss on the predicted depth map (>= 0).,—
spad-train,--early_stopping_patience,整数,否,未设置,整数 >= 1,Stop after N validation epochs without sufficient MAE improvement; disabled when omitted.,—
spad-train,--early_stopping_min_delta,浮点数,否,0.0001,有限浮点数 >= 0,Minimum validation-MAE improvement in meters (>= 0).,—
spad-train-selfsup,--dataset_dir,字符串,是,必填,—,Existing dataset directory or .npz sample file; repeat to combine multiple inputs.,输入路径：必须是现有目录或 .npz 文件
spad-train-selfsup,--output_dir,字符串,否,outputs/train_spisr_selfsup,—,Directory in which checkpoints are written.,输出目录：输入校验通过后自动创建；非空需 --overwrite
spad-train-selfsup,--overwrite,布尔开关,否,False,—,Allow writing into a non-empty output directory.,—
spad-train-selfsup,--resume_checkpoint,字符串,否,未设置,—,Resume a compatible interrupted run from a safe .pt/.pth checkpoint.,—
spad-train-selfsup,--device,字符串,否,auto,auto / cuda / cpu,Execution device; CUDA requests fall back to CPU with an explanation when unavailable.,—
spad-train-selfsup,--gpu_index,整数,否,0,整数 >= 0,Zero-based NVIDIA GPU index used by auto/cuda device modes.,—
spad-train-selfsup,--epochs,整数,否,20,整数 >= 1,Number of training epochs (>= 1).,—
spad-train-selfsup,--batch_size,整数,否,1,整数 >= 1,Samples per optimizer step (>= 1).,—
spad-train-selfsup,--lr,浮点数,否,0.001,有限浮点数 > 0,AdamW learning rate (> 0).,—
spad-train-selfsup,--weight_decay,浮点数,否,1e-06,有限浮点数 >= 0,AdamW weight-decay coefficient (>= 0).,—
spad-train-selfsup,--val_fraction,浮点数,否,0.2,0 <= 值 < 1,Fraction of samples reserved for validation (0 <= value < 1).,—
spad-train-selfsup,--seed,整数,否,0,整数 0—4294967295,Random seed between 0 and 4294967295.,—
spad-train-selfsup,--num_workers,整数,否,0,整数 >= 0,Number of DataLoader worker processes (>= 0).,—
spad-train-selfsup,--max_samples,整数,否,未设置,整数 >= 1,"Optional positive cap on the number of samples, useful for quick tests.",—
spad-train-selfsup,--model,字符串,否,spisr,spisr,Self-supervised reconstruction architecture.,—
spad-train-selfsup,--base_channels,整数,否,16,整数 >= 1,Number of base feature channels in the network (>= 1).,—
spad-train-selfsup,--num_blocks,整数,否,4,整数 >= 1,Number of residual processing blocks (>= 1).,—
spad-train-selfsup,--time_scale,整数,否,2,整数 >= 1,Longitudinal super-resolution factor (>= 1).,—
spad-train-selfsup,--spatial_scale,整数,否,2,整数 >= 1,Lateral super-resolution factor (>= 1).,—
spad-train-selfsup,--temporal_downsample,整数,否,8,整数 >= 1,Factor for summing time bins when creating LR inputs (>= 1).,—
spad-train-selfsup,--spatial_downsample,整数,否,2,整数 >= 1,Factor for summing spatial blocks when creating LR inputs (>= 1).,—
spad-train-selfsup,--gamma,浮点数,否,0.005,有限浮点数 > 0,Poisson-noise parameter in the PUKL estimator (> 0).,—
spad-train-selfsup,--tau,浮点数,否,0.001,有限浮点数 > 0,Monte Carlo finite-difference scale for PUKL (> 0).,—
spad-train-selfsup,--alpha,浮点数,否,1.0,有限浮点数 >= 0,Equivariance-loss weight (>= 0).,—
spad-train-selfsup,--poisson_scale,浮点数,否,1.0,有限浮点数 > 0,Scale applied before Poisson corruption in equivariance learning (> 0).,—
spad-train-selfsup,--max_shift,整数,否,8,整数 >= 0,Maximum absolute random longitudinal shift on the HR cube (>= 0).,—
spad-train-selfsup,--no_normalize,布尔开关,否,False,—,Disable per-sample maximum normalization of LR counts.,—
spad-predict,--checkpoint,字符串,是,必填,—,Path to a trained .pt or .pth checkpoint.,输入文件：必须存在，不自动创建
spad-predict,"--sample_file, --sample",字符串,是,必填,—,Path to one generated .npz sample; --sample is a compatibility alias.,输入文件：必须存在，不自动创建
spad-predict,--output_npz,字符串,否,outputs/prediction.npz,—,Path for the compressed .npz prediction output.,输出文件：输入校验通过后自动创建父目录；已存在需 --overwrite
spad-predict,--output_fig,字符串,否,未设置,—,"Optional path for a PNG, JPEG, PDF, or SVG comparison figure.",输出文件：输入校验通过后自动创建父目录；已存在需 --overwrite
spad-predict,--overwrite,布尔开关,否,False,—,Allow existing output files to be replaced.,—
spad-predict,--device,字符串,否,auto,auto / cuda / cpu,Execution device; CUDA requests fall back to CPU with an explanation when unavailable.,—
spad-predict,--gpu_index,整数,否,0,整数 >= 0,Zero-based NVIDIA GPU index used by auto/cuda device modes.,—
spad-evaluate,--checkpoint,字符串,是,必填,—,Path to a trained .pt or .pth checkpoint; repeat for multiple models.,输入文件：必须存在，不自动创建
spad-evaluate,--label,字符串,否,未设置,—,"Display label for a checkpoint; when used, repeat once per --checkpoint.",—
spad-evaluate,--dataset_dir,字符串,是,必填,—,Directory containing generated sample_*.npz files.,输入目录：必须存在且包含 .npz 文件
spad-evaluate,--output_dir,字符串,是,必填,—,Directory for metric files and the comparison figure.,输出目录：输入校验通过后自动创建；非空需 --overwrite
spad-evaluate,--figure_index,整数,否,0,整数 >= 0,Zero-based sample index used for the comparison figure (must exist).,—
spad-evaluate,--overwrite,布尔开关,否,False,—,Allow writing into an existing non-empty output directory.,—
spad-evaluate,--device,字符串,否,auto,auto / cuda / cpu,Execution device; CUDA requests fall back to CPU with an explanation when unavailable.,—
spad-evaluate,--gpu_index,整数,否,0,整数 >= 0,Zero-based NVIDIA GPU index used by auto/cuda device modes.,—
spad-verify,--dataset_dir,字符串,是,必填,—,Directory containing generated .npz samples.,输入目录：必须存在且包含 .npz 文件
spad-verify,"--sample_name, --sample",字符串,否,未设置,—,Sample filename within --dataset_dir; --sample is a compatibility alias.,输入文件名：相对于 --dataset_dir，不允许绝对路径
spad-verify,--index,整数,否,未设置,整数 >= 0,Zero-based sample index in the sorted file list (must exist).,—
spad-verify,--random,布尔开关,否,False,—,Randomly choose one sample from dataset_dir.,—
spad-verify,"--output_fig, --save_fig",字符串,否,未设置,—,"Optional path for a PNG, JPEG, PDF, or SVG visualization; --save_fig is a compatibility alias.",输出文件：输入校验通过后自动创建父目录；已存在需 --overwrite
spad-verify,--overwrite,布尔开关,否,False,—,Allow an existing --output_fig file to be replaced.,—
spad-browse,--dataset_dir,字符串,是,必填,—,Directory containing generated .npz samples.,输入目录：必须存在且包含 .npz 文件
spad-browse,--start_index,整数,否,0,整数 >= 0,Zero-based initial sample index (must exist).,—
spad-browse,--random_start,布尔开关,否,False,—,Start from a random sample instead of --start_index.,—
spad-browse,--window_name,字符串,否,SPAD Dataset Browser,—,OpenCV window name.,—
spad-browse,--cell_size,整数,否,320,整数 >= 1,Width and height in pixels of each image panel.,—
spad-browse,"--output_dir, --save_dir",字符串,否,未设置,—,Directory for canvases saved with the G key; by default uses <dataset_dir>/browse_exports. --save_dir is a compatibility alias.,输出目录：首次按 G 保存时自动创建
spad-browse,--overwrite,布尔开关,否,False,—,Allow a previously saved canvas file to be replaced.,—
spad-browse,--browse_mode,字符串,否,auto,auto / single / neighborhood_mix / translucent_layer / volume_scattering,Display mode; auto reads surface_model from each sample when available.,—
spad-browse,--pixel_source,字符串,否,auto,auto / counts / transient_clean,Source used for the three per-pixel histograms.,—
